Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
87,Andreas Struengmann ,21.6,-0.335,11.5,Germany,Health Care
88,Jorge Paulo Lemann,21.4,-0.551,-2.45,Brazil,Food&Beverage
89,Stefan Quandt ,21.2,-0.244,2.42,Germany,Industrial
90,Ernesto Bertarelli&family ,21.1,-0.999,1.1,Switzerland,Diversified
91,Iris Fontbona&family ,21.0,-0.308,0.809,Chile,Commodities
92,Li Xiting ,21.0,0.713,-2.22,Singapore,Health Care
93,Zhang Zhidong ,20.8,-0.307,-3.48,China,Technology
94,Elaine Marshall ,20.7,-0.224,1.12,UnitedStates,Industrial
95,Forrest Li ,20.5,-0.554,9.55,Singapore,Technology
96,Peter Woo ,20.1,0.195,2.09,HongKong,Real Estate
97,Wang Xing ,20.0,-0.23,-1.73,China,Technology
98,Jiang Rensheng ,20.0,0.351,1.67,China,Health Care
99,Stefan Persson ,19.7,-0.774,-1.5,Sweden,Retail
100,Gustaf Douglas&family ,19.5,-0.396,6.07,Sweden,Diversified
101,Donald Newhouse ,19.3,-0.499,0.806,UnitedStates,Media&Telecom
102,Aliko Dangote ,19.2,0.119,1.41,Nigeria,Industrial
103,Robert Kuok ,19.0,-0.518,1.58,Malaysia,Diversified
104,Laurene Powell Jobs,18.9,-0.196,-2.34,UnitedStates,Media&Telecom
105,Lei Jun ,18.9,-0.386,-12.4,China,Technology
106,Roman Abramovich ,18.9,-0.192,0.44,RussianFederation,Diversified
107,Budi Hartono ,18.8,0.225,1.39,Indonesia,Diversified
108,Xu Hang ,18.7,0.63,-0.57,HongKong,Health Care
109,Jay Chaudhry ,18.6,0.143,6.8,UnitedStates,Technology
110,Viktor Vekselberg ,18.5,0.597,2.42,RussianFederation,Industrial
111,Wang Wei ,18.4,0.384,-6.78,China,Services
112,Andrey Melnichenko ,18.3,0.115,0.194,RussianFederation,Industrial
113,Ernie Garcia ,18.2,0.276,2.76,UnitedStates,Consumer
114,Sara Mota de Larrea&family,18.1,0.13,1.29,Mexico,Commodities
115,Gina Rinehart ,18.1,0.43,-10.6,Australia,Commodities
116,Michael Hartono ,17.7,0.224,1.4,Indonesia,Diversified
117,Richard Liu ,17.7,-0.556,-2.04,China,Technology
118,Alwaleed Bin Talal,17.6,-0.493,1.34,SaudiArabia,Diversified
119,Dave Duffield ,17.6,0.16,2.86,UnitedStates,Technology
120,Eduardo Saverin ,17.5,0.354,2.74,Brazil,Technology
121,Chen Bang ,17.1,0.913,-3.42,China,Health Care
122,Donald Bren ,16.8,0.0,2.04,UnitedStates,Real Estate
123,Andrew Forrest ,16.5,-0.13,-5.81,Australia,Commodities
124,Uday Kotak ,16.5,-0.52,0.137,India,Finance
125,Charlene de Carvalho-Heineken,16.3,-0.227,0.228,Netherlands,Food&Beverage
126,Cyrus Poonawalla ,16.3,0.256,0.41,India,Health Care
127,Hasso Plattner ,16.3,-0.246,1.05,Germany,Technology
128,Ned Johnson III,16.2,-0.136,2.44,UnitedStates,Finance
129,Vicky Safra ,16.1,0.0,1.55,Greece,Finance
130,Jim Goodnight ,16.0,0.133,2.92,UnitedStates,Technology
131,Karl Albrecht Jr,15.6,-0.171,1.68,Germany,Retail
132,Beate Heister ,15.6,-0.171,1.68,Germany,Retail
133,Ray Dalio ,15.6,0.0,0.45,UnitedStates,Finance
134,Pei Zhenhua ,15.5,0.669,7.6,China,Industrial
135,Charoen Sirivadhanabhakdi ,15.1,-0.854,-0.592,Thailand,Food&Beverage
136,Dietrich Mateschitz ,15.1,-0.162,-3.06,Austria,Food&Beverage
137,Mikhail Fridman ,15.1,-0.115,0.627,RussianFederation,Diversified
138,Li Zhenguo ,15.0,1.29,6.72,China,Energy
139,Ricardo Salinas ,15.0,0.143,2.04,Mexico,Diversified
140,David Tepper ,14.9,0.0,2.05,UnitedStates,Finance
141,Jim Ratcliffe ,14.8,0.0,-12.3,UnitedKingdom,Industrial
142,Harold Hamm ,14.8,-0.475,9.73,UnitedStates,Energy
143,Goh Cheng Liang,14.7,0.182,-12.9,Singapore,Industrial
144,Philip Anschutz ,14.7,-0.296,0.906,UnitedStates,Diversified
145,Sherry Brydson ,14.6,0.53,3.65,Canada,Media&Telecom
146,Wang Wenyin ,14.6,-0.222,4.75,China,Commodities
147,Ma Jianrong ,14.6,-0.439,1.45,China,Consumer
148,Lv Xiang-yang ,14.5,0.12,10.1,China,Consumer
149,Jack Dorsey ,14.4,-0.347,1.81,UnitedStates,Technology
150,Brian Chesky ,14.3,-0.795,1.83,UnitedStates,Services
151,Victor Rashnikov ,14.3,-0.636,3.1,RussianFederation,Industrial
152,Lui Che-Woo ,14.1,0.514,-4.27,HongKong,Entertainment
153,Lin Jianhua ,14.1,0.613,6.87,China,Technology
154,Mikhail Prokhorov ,14.0,0.188,1.26,RussianFederation,Diversified
155,Sam Bankman-Fried ,14.0,0.189,12.3,UnitedStates,Finance
156,Charles Schwab ,13.9,0.484,3.98,UnitedStates,Finance
157,Reinhold Wuerth ,13.8,0.0,-2.52,Germany,Industrial
158,Dilip Shanghvi ,13.7,-0.252,3.46,India,Health Care
159,Jan Koum ,13.6,0.0,1.59,UnitedStates,Technology
160,Wu Yajun ,13.6,-0.137,-2.51,China,Real Estate
161,Melker Schorling ,13.6,-0.244,2.19,Sweden,Diversified
162,Zhang Bo ,13.6,0.217,7.23,China,Industrial
163,Eric Yuan ,13.5,-0.915,-2.91,UnitedStates,Technology
